timestamp_utc,hostname,client_id,client_private_ip,scenario,cpu_percent,cpu_freq_mhz,ram_percent,loadavg_1m,disk_read_Bps,disk_write_Bps,net_tx_Bps,net_rx_Bps,disk_read_bytes_total,disk_write_bytes_total,net_tx_bytes_total,net_rx_bytes_total,ping_rtt_ms,ping_jitter_ms,ping_loss_pct
2026-01-24T23:19:34.190606+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.00,3049.79,7.40,0.000,0.00,0.00,0.00,0.00,9465828864,31035123712,21272597,4394990558,999.000,0.000,100.00
2026-01-24T23:19:37.197453+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.20,3049.86,7.40,0.000,0.00,0.00,2065.34,2700.58,9465828864,31035123712,21278807,4394998678,999.000,0.000,100.00
2026-01-24T23:19:40.204320+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.00,3198.19,7.40,0.000,0.00,0.00,391.78,335.24,9465828864,31035123712,21279985,4394999686,999.000,0.000,100.00
2026-01-24T23:19:43.210947+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.20,2899.98,7.40,0.000,138946.25,0.00,5001.23,6240.40,9466246656,31035123712,21295023,4395018450,999.000,0.000,100.00
2026-01-24T23:19:46.217668+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.00,3199.21,7.40,0.000,0.00,0.00,97.79,0.00,9466246656,31035123712,21295317,4395018450,999.000,0.000,100.00
2026-01-24T23:19:49.224401+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.10,3199.55,7.40,0.000,0.00,0.00,97.78,0.00,9466246656,31035123712,21295611,4395018450,999.000,0.000,100.00
2026-01-24T23:19:52.230827+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.10,3051.62,7.40,0.000,0.00,0.00,97.78,0.00,9466246656,31035123712,21295905,4395018450,999.000,0.000,100.00
2026-01-24T23:19:55.237505+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.00,3202.31,7.40,0.000,0.00,0.00,97.79,0.00,9466246656,31035123712,21296199,4395018450,999.000,0.000,100.00
2026-01-24T23:19:58.244192+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.10,3193.36,7.40,0.000,0.00,0.00,3329.26,4354.31,9466246656,31035123712,21306209,4395031542,999.000,0.000,100.00
2026-01-24T23:20:01.251147+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.10,3049.70,7.40,0.000,1362.31,0.00,3753.00,4839.93,9466250752,31035123712,21317493,4395046094,999.000,0.000,100.00
2026-01-24T23:20:04.258515+00:00,ip-172-31-28-71,client7,172.31.28.71,normal,0.20,3339.87,7.50,0.000,0.00,72195.19,6519.54,7325.01,9466250752,31035340800,21337097,4395068120,999.000,0.000,100.00
