timestamp_utc,hostname,client_id,client_private_ip,scenario,cpu_percent,cpu_freq_mhz,ram_percent,loadavg_1m,disk_read_Bps,disk_write_Bps,net_tx_Bps,net_rx_Bps,disk_read_bytes_total,disk_write_bytes_total,net_tx_bytes_total,net_rx_bytes_total,ping_rtt_ms,ping_jitter_ms,ping_loss_pct
2026-01-24T23:19:05.146138+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.00,3200.77,13.90,0.000,0.00,0.00,0.00,0.00,19510455808,32628373504,18166066,4413876485,999.000,0.000,100.00
2026-01-24T23:19:08.153114+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.00,3207.96,13.90,0.000,0.00,0.00,4405.80,5912.98,19510455808,32628373504,18179314,4413894265,999.000,0.000,100.00
2026-01-24T23:19:11.160206+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.20,3208.87,13.90,0.000,0.00,0.00,97.77,0.00,19510455808,32628373504,18179608,4413894265,999.000,0.000,100.00
2026-01-24T23:19:14.167122+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.30,2400.00,13.90,0.000,138934.25,0.00,3770.38,4357.66,19510873600,32628373504,18190946,4413907369,999.000,0.000,100.00
2026-01-24T23:19:17.174092+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.20,3201.46,13.90,0.000,0.00,0.00,97.77,0.00,19510873600,32628373504,18191240,4413907369,999.000,0.000,100.00
2026-01-24T23:19:20.181152+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.00,2801.20,13.90,0.000,0.00,95352.54,127.70,25.27,19510873600,32628660224,18191624,4413907445,999.000,0.000,100.00
2026-01-24T23:19:23.188024+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.20,2800.42,13.90,0.000,0.00,0.00,97.77,0.00,19510873600,32628660224,18191918,4413907445,999.000,0.000,100.00
2026-01-24T23:19:26.195043+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.00,2801.73,13.90,0.000,0.00,0.00,97.78,0.00,19510873600,32628660224,18192212,4413907445,999.000,0.000,100.00
2026-01-24T23:19:29.202044+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.30,2800.50,13.90,0.000,0.00,0.00,97.77,0.00,19510873600,32628660224,18192506,4413907445,999.000,0.000,100.00
2026-01-24T23:19:32.208970+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.20,2798.85,13.90,0.000,0.00,0.00,97.77,0.00,19510873600,32628660224,18192800,4413907445,999.000,0.000,100.00
2026-01-24T23:19:35.216042+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.00,2802.74,13.90,0.000,0.00,0.00,127.71,25.28,19510873600,32628660224,18193184,4413907521,999.000,0.000,100.00
2026-01-24T23:19:38.223033+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.20,2804.40,13.90,0.000,0.00,2724.24,97.77,0.00,19510873600,32628668416,18193478,4413907521,999.000,0.000,100.00
2026-01-24T23:19:41.230200+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.00,2803.30,13.90,0.000,0.00,0.00,111.74,9.31,19510873600,32628668416,18193814,4413907549,999.000,0.000,100.00
2026-01-24T23:19:44.237201+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.20,2400.00,13.90,0.000,0.00,1362.06,97.76,0.00,19510873600,32628672512,18194108,4413907549,999.000,0.000,100.00
2026-01-24T23:19:47.244176+00:00,ip-172-31-23-143,client6,172.31.23.143,normal,0.30,2400.00,13.90,0.000,0.00,0.00,97.77,0.00,19510873600,32628672512,18194402,4413907549,999.000,0.000,100.00
